UID,Univ_name,DID,KAIST_dept,Univ_track
1,Instituto Tecnologico de Buenos Aires,2,Department of Bio and Brain Engineering,Bioengineering
1,Instituto Tecnologico de Buenos Aires,4,Department of Chemical and Biomolecular Engineering,Chemical Engineering
1,Instituto Tecnologico de Buenos Aires,15,School of Computing,Computer Science
1,Instituto Tecnologico de Buenos Aires,16,School of Electrical Engineering,Electrical and Electronic Engineering
1,Instituto Tecnologico de Buenos Aires,14,School of Business and Technology Management,Finance
1,Instituto Tecnologico de Buenos Aires,7,Department of Industrial & Systems Engineering,Industrial Engineering
1,Instituto Tecnologico de Buenos Aires,10,Department of Mathematical Sciences,Mathematics
1,Instituto Tecnologico de Buenos Aires,11,Department of Mechanical Engineering,Mechanical Engineering
1,Instituto Tecnologico de Buenos Aires,13,Department of Physics,Physics
2,University of New South Wales,2,Department of Bio and Brain Engineering,Biomedical Engineering
2,University of New South Wales,3,Department of Biological Sciences,Biology
2,University of New South Wales,4,Department of Chemical and Biomolecular Engineering,Chemical Engineering
2,University of New South Wales,5,Department of Chemistry,Chemistry
2,University of New South Wales,6,Department of Civil and Environmental Engineering,Civil Engineering
2,University of New South Wales,15,School of Computing,Computer Engineering
2,University of New South Wales,15,School of Computing,Computer Science
2,University of New South Wales,16,School of Electrical Engineering,Electrical Engineering
2,University of New South Wales,6,Department of Civil and Environmental Engineering,Environmental Engineering
2,University of New South Wales,8,Department of Industrial Design,Industrial Design
2,University of New South Wales,10,Department of Mathematical Sciences,Mathematics
2,University of New South Wales,11,Department of Mechanical Engineering,Mechanical Engineering
2,University of New South Wales,13,Department of Physics,Physics
2,University of New South Wales,7,Department of Industrial & Systems Engineering,Production Engineering
3,University of Queensland,3,Department of Biological Sciences,Biological and Life Sciences
3,University of Queensland,2,Department of Bio and Brain Engineering,Biomedical Engineering
3,University of Queensland,4,Department of Chemical and Biomolecular Engineering,Chemical Engineering
3,University of Queensland,6,Department of Civil and Environmental Engineering,Civil Engineering
3,University of Queensland,16,School of Electrical Engineering,Electrical Engineering
3,University of Queensland,6,Department of Civil and Environmental Engineering,Environmental Engineering
3,University of Queensland,11,Department of Mechanical Engineering,Mechanical Engineering
4,RMIT(Royal Melbourne Institute of Technology),1,Department of Aerospace Engineering,Aeronautical and Aerospace Engineering
4,RMIT(Royal Melbourne Institute of Technology),6,Department of Civil and Environmental Engineering,Architecture
4,RMIT(Royal Melbourne Institute of Technology),2,Department of Bio and Brain Engineering,Biotechnology
4,RMIT(Royal Melbourne Institute of Technology),4,Department of Chemical and Biomolecular Engineering,Chemical Engineering
4,RMIT(Royal Melbourne Institute of Technology),6,Department of Civil and Environmental Engineering,Civil Engineering
4,RMIT(Royal Melbourne Institute of Technology),15,School of Computing,Computer Engineering
4,RMIT(Royal Melbourne Institute of Technology),15,School of Computing,Computer Science
4,RMIT(Royal Melbourne Institute of Technology),8,Department of Industrial Design,Design
4,RMIT(Royal Melbourne Institute of Technology),16,School of Electrical Engineering,Electrical Engineering
4,RMIT(Royal Melbourne Institute of Technology),11,Department of Mechanical Engineering,Mechanical Engineering
4,RMIT(Royal Melbourne Institute of Technology),7,Department of Industrial & Systems Engineering,Production Engineering
5,University of Sydney,1,Department of Aerospace Engineering,Aeronautical and Aerospace Engineering
5,University of Sydney,4,Department of Chemical and Biomolecular Engineering,Biochemistry
5,University of Sydney,3,Department of Biological Sciences,Biological and Life Sciences
5,University of Sydney,14,School of Business and Technology Management,Business Administration
5,University of Sydney,14,School of Business and Technology Management,Business and Commerce
5,University of Sydney,4,Department of Chemical and Biomolecular Engineering,Chemical Engineering
5,University of Sydney,5,Department of Chemistry,Chemistry
5,University of Sydney,6,Department of Civil and Environmental Engineering,Civil Engineering
5,University of Sydney,15,School of Computing,Computer Science
5,University of Sydney,16,School of Electrical Engineering,Electrical Engineering
5,University of Sydney,6,Department of Civil and Environmental Engineering,Environmental Engineering
5,University of Sydney,6,Department of Civil and Environmental Engineering,Industrial Management
5,University of Sydney,10,Department of Mathematical Sciences,Mathematics
5,University of Sydney,11,Department of Mechanical Engineering,Mechanical Engineering
5,University of Sydney,12,Department of Nuclear and Quantum Engineering,Nuclear Physics
5,University of Sydney,13,Department of Physics,Physics
5,University of Sydney,6,Department of Civil and Environmental Engineering,Structural Architecture
6,Monash University,14,School of Business and Technology Management,Management
6,Monash University,1,Department of Aerospace Engineering,Aeronautical and Aerospace Engineering
6,Monash University,2,Department of Bio and Brain Engineering,Bioengineering
6,Monash University,4,Department of Chemical and Biomolecular Engineering,Chemical Engineering
6,Monash University,6,Department of Civil and Environmental Engineering,Civil Engineering
6,Monash University,15,School of Computing,Computer Engineering
6,Monash University,16,School of Electrical Engineering,Electrical Engineering
6,Monash University,9,Department of Materials Science & Engineering,Materials Engineering
6,Monash University,11,Department of Mechanical Engineering,Mechanical Engineering
6,Monash University,15,School of Computing,Computer Science
6,Monash University,3,Department of Biological Sciences,Biological and Life Sciences
6,Monash University,5,Department of Chemistry,Chemistry
6,Monash University,10,Department of Mathematical Sciences,Mathematics
6,Monash University,13,Department of Physics,Physics
7,Ecole Polytechnique de Louvain [Universite catholique de Louvain (UCL)],3,Department of Biological Sciences,Biological and Life Sciences
7,Ecole Polytechnique de Louvain [Universite catholique de Louvain (UCL)],3,Department of Biological Sciences,Biology
7,Ecole Polytechnique de Louvain [Universite catholique de Louvain (UCL)],14,School of Business and Technology Management,Business Administration
7,Ecole Polytechnique de Louvain [Universite catholique de Louvain (UCL)],5,Department of Chemistry,Chemistry
7,Ecole Polytechnique de Louvain [Universite catholique de Louvain (UCL)],6,Department of Civil and Environmental Engineering,Civil Engineering
7,Ecole Polytechnique de Louvain [Universite catholique de Louvain (UCL)],15,School of Computing,Computer Engineering
7,Ecole Polytechnique de Louvain [Universite catholique de Louvain (UCL)],16,School of Electrical Engineering,Electrical Engineering
7,Ecole Polytechnique de Louvain [Universite catholique de Louvain (UCL)],9,Department of Materials Science & Engineering,Materials Engineering
7,Ecole Polytechnique de Louvain [Universite catholique de Louvain (UCL)],10,Department of Mathematical Sciences,Mathematics
7,Ecole Polytechnique de Louvain [Universite catholique de Louvain (UCL)],11,Department of Mechanical Engineering,Mechanical Engineering
7,Ecole Polytechnique de Louvain [Universite catholique de Louvain (UCL)],13,Department of Physics,Physics
8,Universiti Brunei Darussalam,3,Department of Biological Sciences,Biological and Life Sciences
8,Universiti Brunei Darussalam,5,Department of Chemistry,Chemical Engineering
8,Universiti Brunei Darussalam,5,Department of Chemistry,Chemistry
8,Universiti Brunei Darussalam,15,School of Computing,Computer Science
8,Universiti Brunei Darussalam,7,Department of Industrial & Systems Engineering,Industrial Engineering
8,Universiti Brunei Darussalam,10,Department of Mathematical Sciences,Mathematics
8,Universiti Brunei Darussalam,13,Department of Physics,Physics
8,Universiti Brunei Darussalam,7,Department of Industrial & Systems Engineering,Production Engineering
9,University of Waterloo,2,Department of Bio and Brain Engineering,Biomedical Engineering
9,University of Waterloo,4,Department of Chemical and Biomolecular Engineering,Chemical Engineering
9,University of Waterloo,6,Department of Civil and Environmental Engineering,Civil Engineering
9,University of Waterloo,15,School of Computing,Computer Engineering
9,University of Waterloo,16,School of Electrical Engineering,Electrical Engineering
9,University of Waterloo,14,School of Business and Technology Management,Management
9,University of Waterloo,11,Department of Mechanical Engineering,Mechanical Engineering
9,University of Waterloo,15,School of Computing,Software Engineering
9,University of Waterloo,8,Department of Industrial Design,Design
9,University of Waterloo,10,Department of Mathematical Sciences,Mathematics
9,University of Waterloo,3,Department of Biological Sciences,Biology
9,University of Waterloo,5,Department of Chemistry,Chemistry
9,University of Waterloo,13,Department of Physics,Physics
10,University of Toronto,1,Department of Aerospace Engineering,Astronomy and Space Science
10,University of Toronto,4,Department of Chemical and Biomolecular Engineering,Biochemistry
10,University of Toronto,3,Department of Biological Sciences,Biology
10,University of Toronto,14,School of Business and Technology Management,Business and Commerce
10,University of Toronto,5,Department of Chemistry,Chemistry
10,University of Toronto,15,School of Computing,Computer Science
10,University of Toronto,10,Department of Mathematical Sciences,Mathematics
10,University of Toronto,13,Department of Physics,Mathematical Physics
11,Charles University in Prague,4,Department of Chemical and Biomolecular Engineering,Biochemistry
11,Charles University in Prague,3,Department of Biological Sciences,Biology
11,Charles University in Prague,15,School of Computing,Computer Science
11,Charles University in Prague,10,Department of Mathematical Sciences,Mathematics
11,Charles University in Prague,12,Department of Nuclear and Quantum Engineering,Nuclear Physics
11,Charles University in Prague,13,Department of Physics,Physics
11,Charles University in Prague,10,Department of Mathematical Sciences,Statistics
12,Czech Technical University in Prague,1,Department of Aerospace Engineering,Aeronautical and Aerospace Engineering
12,Czech Technical University in Prague,4,Department of Chemical and Biomolecular Engineering,Biochemistry
12,Czech Technical University in Prague,2,Department of Bio and Brain Engineering,Biomedical Engineering
12,Czech Technical University in Prague,6,Department of Civil and Environmental Engineering,Civil Engineering
12,Czech Technical University in Prague,15,School of Computing,Computer Engineering
12,Czech Technical University in Prague,16,School of Electrical Engineering,Electrical Engineering
12,Czech Technical University in Prague,10,Department of Mathematical Sciences,Mathematics
12,Czech Technical University in Prague,12,Department of Nuclear and Quantum Engineering,Nuclear Engineering
12,Czech Technical University in Prague,13,Department of Physics,Physics
12,Czech Technical University in Prague,7,Department of Industrial & Systems Engineering,Production Engineering
12,Czech Technical University in Prague,15,School of Computing,Software Engineering
13,Technical University of Denmark (DTU),1,Department of Aerospace Engineering,Aeronautical and Aerospace Engineering
13,Technical University of Denmark (DTU),2,Department of Bio and Brain Engineering,Bioengineering
13,Technical University of Denmark (DTU),3,Department of Biological Sciences,Biological and Life Sciences
13,Technical University of Denmark (DTU),4,Department of Chemical and Biomolecular Engineering,Chemical Engineering
13,Technical University of Denmark (DTU),5,Department of Chemistry,Chemistry
13,Technical University of Denmark (DTU),6,Department of Civil and Environmental Engineering,Civil Engineering
13,Technical University of Denmark (DTU),15,School of Computing,Computer Science
13,Technical University of Denmark (DTU),16,School of Electrical Engineering,Electrical Engineering
13,Technical University of Denmark (DTU),7,Department of Industrial & Systems Engineering,Industrial Management
13,Technical University of Denmark (DTU),11,Department of Mechanical Engineering,Mechanical Engineering
13,Technical University of Denmark (DTU),13,Department of Physics,Physics
14,Aalto University (technical schools),2,Department of Bio and Brain Engineering,Biomedical Engineering
14,Aalto University (technical schools),4,Department of Chemical and Biomolecular Engineering,Chemical Engineering
14,Aalto University (technical schools),5,Department of Chemistry,Chemistry
14,Aalto University (technical schools),6,Department of Civil and Environmental Engineering,Civil Engineering
14,Aalto University (technical schools),15,School of Computing,Computer Engineering
14,Aalto University (technical schools),16,School of Electrical Engineering,Electrical Engineering
14,Aalto University (technical schools),7,Department of Industrial & Systems Engineering,Industrial Management
14,Aalto University (technical schools),14,School of Business and Technology Management,Management Systems
14,Aalto University (technical schools),9,Department of Materials Science & Engineering,Materials Engineering
14,Aalto University (technical schools),10,Department of Mathematical Sciences,Mathematics
14,Aalto University (technical schools),13,Department of Physics,Physics
15,Aalto University (Aalto Arts),8,Department of Industrial Design,Industrial Design
16,Tampere University of Technology (TUT),6,Department of Civil and Environmental Engineering,Civil Engineering
16,Tampere University of Technology (TUT),2,Department of Bio and Brain Engineering,Biomedical Engineering
16,Tampere University of Technology (TUT),4,Department of Chemical and Biomolecular Engineering,Chemical Engineering
16,Tampere University of Technology (TUT),15,School of Computing,Computer Engineering
16,Tampere University of Technology (TUT),16,School of Electrical Engineering,Electrical Engineering
16,Tampere University of Technology (TUT),7,Department of Industrial & Systems Engineering,Industrial Management
16,Tampere University of Technology (TUT),9,Department of Materials Science & Engineering,Materials Engineering
16,Tampere University of Technology (TUT),10,Department of Mathematical Sciences,Mathematics
16,Tampere University of Technology (TUT),11,Department of Mechanical Engineering,Mechanical Engineering
16,Tampere University of Technology (TUT),13,Department of Physics,Physics
16,Tampere University of Technology (TUT),7,Department of Industrial & Systems Engineering,Production Engineering
17,Ecole Polytechnique,3,Department of Biological Sciences,Biology
17,Ecole Polytechnique,5,Department of Chemistry,Chemistry
17,Ecole Polytechnique,15,School of Computing,Computer Science
17,Ecole Polytechnique,10,Department of Mathematical Sciences,Mathematics
17,Ecole Polytechnique,11,Department of Mechanical Engineering,Mechanical Engineering
17,Ecole Polytechnique,13,Department of Physics,Physics
17,Ecole Polytechnique,12,Department of Nuclear and Quantum Engineering,Nuclear Physics
18,Arts Et Metiers ParisTech (ENSAM),9,Department of Materials Science & Engineering,Materials and Processes
18,Arts Et Metiers ParisTech (ENSAM),11,Department of Mechanical Engineering,Mechanical Engineering and Industrial Engineering
19,Ecole Nationale Superieure des Mines de Saint-Etienne (EMSE),16,School of Electrical Engineering,Electronic Engineering
19,Ecole Nationale Superieure des Mines de Saint-Etienne (EMSE),9,Department of Materials Science & Engineering,Materials Engineering
19,Ecole Nationale Superieure des Mines de Saint-Etienne (EMSE),11,Department of Mechanical Engineering,Mechanical Engineering
19,Ecole Nationale Superieure des Mines de Saint-Etienne (EMSE),15,School of Computing,Computer Science
19,Ecole Nationale Superieure des Mines de Saint-Etienne (EMSE),7,Department of Industrial & Systems Engineering,Industrial Engineering
19,Ecole Nationale Superieure des Mines de Saint-Etienne (EMSE),15,School of Computing,Software Engineering
20,EFREI - Engineering School of Inforationa and Digital Technologies,16,School of Electrical Engineering,Electronic Engineering
20,EFREI - Engineering School of Inforationa and Digital Technologies,15,School of Computing,Mathematics and Computer Science
20,EFREI - Engineering School of Inforationa and Digital Technologies,13,Department of Physics,Physics
21,Grenoble Institute of Technology (Insitut Polytechnique de Grenoble),15,School of Computing,Computer Networks
21,Grenoble Institute of Technology (Insitut Polytechnique de Grenoble),10,Department of Mathematical Sciences,Applied Mathematics
21,Grenoble Institute of Technology (Insitut Polytechnique de Grenoble),15,School of Computing,Computer Science
21,Grenoble Institute of Technology (Insitut Polytechnique de Grenoble),7,Department of Industrial & Systems Engineering,Industrial Engineering
21,Grenoble Institute of Technology (Insitut Polytechnique de Grenoble),9,Department of Materials Science & Engineering,Materials Engineering
21,Grenoble Institute of Technology (Insitut Polytechnique de Grenoble),13,Department of Physics,Applied Physics
21,Grenoble Institute of Technology (Insitut Polytechnique de Grenoble),16,School of Electrical Engineering,Electronic Engineering
22,INSA Strasbourg,6,Department of Civil and Environmental Engineering,Civil Engineering
22,INSA Strasbourg,16,School of Electrical Engineering,Electrical Engineering
22,INSA Strasbourg,13,Department of Physics,Physics
22,INSA Strasbourg,11,Department of Mechanical Engineering,Mechanical Engineering
23,INSA Toulouse,2,Department of Bio and Brain Engineering,Bioengineering
23,INSA Toulouse,3,Department of Biological Sciences,Biological and Life Sciences
23,INSA Toulouse,5,Department of Chemistry,Chemistry
23,INSA Toulouse,6,Department of Civil and Environmental Engineering,Construction Engineering
23,INSA Toulouse,15,School of Computing,Computer Engineering
23,INSA Toulouse,10,Department of Mathematical Sciences,Mathematics
23,INSA Toulouse,11,Department of Mechanical Engineering,Mechanical Engineering
23,INSA Toulouse,13,Department of Physics,Physical Engineering
23,INSA Toulouse,7,Department of Industrial & Systems Engineering,Industrial Engineering
23,INSA Toulouse,4,Department of Chemical and Biomolecular Engineering,Chemical Engineering
23,INSA Toulouse,9,Department of Materials Science & Engineering,Materials Engineering
24,INSA Rennes,6,Department of Civil and Environmental Engineering,Construction Engineering
24,INSA Rennes,15,School of Computing,Software Engineering
24,INSA Rennes,16,School of Electrical Engineering,Electronic Engineering
24,INSA Rennes,10,Department of Mathematical Sciences,Mathematics
24,INSA Rennes,9,Department of Materials Science & Engineering,Materials Engineering
24,INSA Rennes,11,Department of Mechanical Engineering,Mechanical Engineering
24,INSA Rennes,7,Department of Industrial & Systems Engineering,Production Engineering
25,NEOMA Business School (Rouen Campus),14,School of Business and Technology Management,Business Administration
26,IMT Atlantique (Telecom de Bretagne),15,School of Computing,Computer Engineering
26,IMT Atlantique (Telecom de Bretagne),16,School of Electrical Engineering,Electronic Engineering
27,Institute Mines-Telecom Business School (Telecom Ecole de Management),15,School of Computing,Computer Engineering
27,Institute Mines-Telecom Business School (Telecom Ecole de Management),16,School of Electrical Engineering,Electronic Engineering
27,Institute Mines-Telecom Business School (Telecom Ecole de Management),7,Department of Industrial & Systems Engineering,Industrial Engineering
27,Institute Mines-Telecom Business School (Telecom Ecole de Management),12,Department of Nuclear and Quantum Engineering,Nuclear Engineering
27,Institute Mines-Telecom Business School (Telecom Ecole de Management),9,Department of Materials Science & Engineering,Polymer and Plastics Technology
28,University of Technology at Belfort-Montbeliard (UTBM),15,School of Computing,Computer Engineering
28,University of Technology at Belfort-Montbeliard (UTBM),16,School of Electrical Engineering,Electronic Engineering
28,University of Technology at Belfort-Montbeliard (UTBM),7,Department of Industrial & Systems Engineering,Industrial Engineering
28,University of Technology at Belfort-Montbeliard (UTBM),11,Department of Mechanical Engineering,Mechanical Engineering
29,University of Technology of Troyes (UTT),15,School of Computing,Computer Engineering
29,University of Technology of Troyes (UTT),11,Department of Mechanical Engineering,Mechanical Engineering
29,University of Technology of Troyes (UTT),9,Department of Materials Science & Engineering,Materials Engineering
30,Sorbonne Universite (University Pierre and Marie Curie),15,School of Computing,Computer Science
30,Sorbonne Universite (University Pierre and Marie Curie),3,Department of Biological Sciences,Biological and Life Sciences
30,Sorbonne Universite (University Pierre and Marie Curie),5,Department of Chemistry,Chemistry
30,Sorbonne Universite (University Pierre and Marie Curie),10,Department of Mathematical Sciences,Mathematics
30,Sorbonne Universite (University Pierre and Marie Curie),11,Department of Mechanical Engineering,Mechanics
30,Sorbonne Universite (University Pierre and Marie Curie),13,Department of Physics,Physics
31,Hochschule Furtwangen University(HFU),15,School of Computing,Computer Engineering
31,Hochschule Furtwangen University(HFU),16,School of Electrical Engineering,Electrical Engineering
31,Hochschule Furtwangen University(HFU),3,Department of Biological Sciences,Biological and Life Sciences
31,Hochschule Furtwangen University(HFU),5,Department of Chemistry,Chemistry
31,Hochschule Furtwangen University(HFU),10,Department of Mathematical Sciences,Mathematics
31,Hochschule Furtwangen University(HFU),11,Department of Mechanical Engineering,Mechanics
31,Hochschule Furtwangen University(HFU),13,Department of Physics,Physics
31,Hochschule Furtwangen University(HFU),14,School of Business and Technology Management,Business Administration
31,Hochschule Furtwangen University(HFU),7,Department of Industrial & Systems Engineering,Production Engineering
31,Hochschule Furtwangen University(HFU),2,Department of Bio and Brain Engineering,Biomedical Engineering
31,Hochschule Furtwangen University(HFU),11,Department of Mechanical Engineering,Mechanical Engineering
32,Karlsruhe Institute of Technology (KIT),15,School of Computing,Computer Engineering
